Designator,Mid X,Mid Y,Rotation,Layer
C1,342.5,-82.25,0.0,top
C2,350.5,-80.5,90.0,top
D1,63.600284,-70.015612,270.0,top
D10,177.700952,-70.015612,270.0,top
D11,190.378804,-70.015612,270.0,top
D12,203.056656,-70.015612,270.0,top
D13,215.734508,-70.015612,270.0,top
D14,228.342376,-70.015612,270.0,top
D15,275.541929,-74.976199,270.0,top
D16,66.769747,-71.669141,270.0,top
D17,82.617062,-73.32267,270.0,top
D18,92.125451,-71.669141,270.0,top
D19,104.803303,-71.669141,270.0,top
D2,85.786525,-74.976199,270.0,top
D20,117.481155,-71.669141,270.0,top
D21,130.159007,-71.669141,270.0,top
D22,142.836859,-71.669141,270.0,top
D23,155.514711,-71.669141,270.0,top
D24,168.192563,-71.669141,270.0,top
D25,180.870415,-71.669141,270.0,top
D26,193.548267,-71.669141,270.0,top
D27,206.226119,-71.669141,270.0,top
D28,218.886475,-71.669141,270.0,top
D29,231.493149,-71.669141,270.0,top
D3,88.955988,-70.015612,270.0,top
D30,272.453205,-73.32267,270.0,top
D31,69.93921,-73.32267,270.0,top
D32,79.447599,-71.669141,270.0,top
D33,95.294914,-73.32267,270.0,top
D34,107.972766,-73.32267,270.0,top
D35,120.650618,-73.32267,270.0,top
D36,133.32847,-73.32267,270.0,top
D37,146.006322,-73.32267,270.0,top
D38,158.684174,-73.32267,270.0,top
D39,171.362026,-73.32267,270.0,top
D4,101.63384,-70.015612,270.0,top
D40,184.039878,-73.32267,270.0,top
D41,196.71773,-73.32267,270.0,top
D42,209.395582,-73.32267,270.0,top
D43,234.643922,-73.32267,270.0,top
D44,269.364481,-71.669141,270.0,top
D45,73.108673,-74.976199,270.0,top
D46,98.464377,-74.976199,270.0,top
D47,111.142229,-74.976199,270.0,top
D48,123.820081,-74.976199,270.0,top
D49,136.497933,-74.976199,270.0,top
D5,114.311692,-70.015612,270.0,top
D50,149.175785,-74.976199,270.0,top
D51,161.853637,-74.976199,270.0,top
D52,174.531489,-74.976199,270.0,top
D53,187.209341,-74.976199,270.0,top
D54,199.887193,-74.976199,270.0,top
D55,212.565045,-74.976199,270.0,top
