Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_Rect_L11.5mm_W5.2mm_P10.00mm_MKT,1,100nF,
C2,C_Disc_D4.7mm_W2.5mm_P5.00mm,1,10µF,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D7, D8, D9",D_DO-35_SOD27_P5.08mm_Horizontal,68,~,
J_BAT1,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,GND,
"SW1, SW10, SW11, SW12, SW13, SW15, SW17, SW18, SW19, SW2, SW20, SW21, SW22, SW23, SW24, SW25, SW26, SW27, SW28, SW3, SW30, SW32, SW33, SW34, SW35, SW36, SW37, SW38, SW39, SW4, SW40, SW41, SW42, SW44, SW46, SW47, SW48, SW49, SW5, SW50, SW51, SW52, SW53, SW54, SW55, SW57, SW58, SW6, SW62, SW65, SW66, SW67, SW68, SW7, SW8, SW9",SW_Cherry_MX1A_1.00u_PCB-NOSCREEN,56,KEYSW,
SW14,SW_Cherry_MX1A_2.00u_PCBNOSCREEN,1,KEYSW,
"SW16, SW29",SW_Cherry_MX1A_1.50u_PCBNOSCREEN,2,KEYSW,
"SW31, SW56",SW_Cherry_MX1A_1.75u_PCBNOSCREEN,2,KEYSW,
"SW43, SW45",SW_Cherry_MX1A_2.25u_PCBNOSCREEN,2,KEYSW,
"SW59, SW60, SW61, SW63, SW64",SW_Cherry_MX1A_1.25u_PCBNOSCREEN,5,KEYSW,
SW79,1P2T_SS-12D00_CNK,1,SW_SPST,
